vhodne-uverejneni.cz,"HTTPSConnectionPool(host='www.vhodne-uverejneni.cz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.vhodne-uverejneni.cz', port=443): Read timed out. (read timeout=2)"
vvkt.lt,"HTTPSConnectionPool(host='vvkt.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='vvkt.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
vylety-zabava.cz,"HTTPSConnectionPool(host='vylety-zabava.cz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='vylety-zabava.cz', port=443): Read timed out. (read timeout=2)"
waa2.co.za,"HTTPSConnectionPool(host='www.waa2.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.waa2.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
walaw.press,"HTTPSConnectionPool(host='walaw.press', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='walaw.press', port=443): Read timed out. (read timeout=2)"
waltonbd.com,"HTTPSConnectionPool(host='waltonbd.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='waltonbd.com', port=443): Read timed out. (read timeout=2)"
waroengsipiet.nl,"HTTPSConnectionPool(host='waroengsipiet.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f41377b2940>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='waroengsipiet.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f412dd443d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
waseda.jp,"HTTPSConnectionPool(host='waseda.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f412dd44850>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='waseda.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f41371424f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
wasfetmama.com,"HTTPSConnectionPool(host='wasfetmama.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='wasfetmama.com', port=443): Read timed out. (read timeout=2)"
washingtonpost.com,"HTTPSConnectionPool(host='www.washingtonpost.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.washingtonpost.com', port=443): Read timed out. (read timeout=2)"
watsons.ua,"HTTPSConnectionPool(host='watsons.ua', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='watsons.ua', port=80): Read timed out. (read timeout=2)"
waykanankab.go.id,"HTTPSConnectionPool(host='waykanankab.go.id', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='waykanankab.go.id', port=80): Read timed out. (read timeout=2)"
wbc.poznan.pl,"HTTPSConnectionPool(host='wbc.poznan.pl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'wbc.poznan.pl' doesn't match 'www.wbc.poznan.pl'"")))","HTTPSConnectionPool(host='wbc.poznan.pl', port=443): Max retries exceeded with url: /dlibra (Caused by SSLError(SSLCertVerificationError(""hostname 'wbc.poznan.pl' doesn't match 'www.wbc.poznan.pl'"")))"
wbpublibnet.gov.in,"HTTPSConnectionPool(host='wbpublibnet.gov.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f412de2fac0>, 'Connection to wbpublibnet.gov.in timed out. (connect timeout=2)'))","HTTPConnectionPool(host='wbpublibnet.gov.in', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f4134df53a0>, 'Connection to wbpublibnet.gov.in timed out. (connect timeout=2)'))"
weathercrave.com,"HTTPSConnectionPool(host='weathercrave.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.weathercrave.com', port=443): Read timed out. (read timeout=2)"
webry.info,"HTTPSConnectionPool(host='webry.info', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f412dd2c190>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='webry.info', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f4132b3f040>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
weddingsevermore.com,"HTTPSConnectionPool(host='weddingsevermore.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='weddingsevermore.com', port=80): Read timed out. (read timeout=2)"
weekendnotes.com,"HTTPSConnectionPool(host='www.weekendnotes.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.weekendnotes.com', port=443): Read timed out. (read timeout=2)"
weeklytimesnow.com.au,"HTTPSConnectionPool(host='www.weeklytimesnow.com.au', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.weeklytimesnow.com.au', port=443): Read timed out. (read timeout=2)"
wego.ae,"HTTPSConnectionPool(host='wego.ae', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f412d602970>, 'Connection to wego.ae timed out. (connect timeout=2)'))","HTTPSConnectionPool(host='www.wego.ae', port=443): Read timed out. (read timeout=2)"
wellcare.vn,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
wendydansenfotografie.nl,"HTTPSConnectionPool(host='wendydansenfotografie.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f412dcc9820>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='wendydansenfotografie.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f413802d4c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
whathifi.com,"HTTPSConnectionPool(host='whathifi.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f4136319b20>, 'Connection to whathifi.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='whathifi.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f4133d62e80>, 'Connection to whathifi.com timed out. (connect timeout=2)'))"
whitepages.com.au,"HTTPSConnectionPool(host='www.whitepages.com.au', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.whitepages.com.au', port=443): Read timed out. (read timeout=2)"
wiki.tn,"HTTPSConnectionPool(host='wiki.tn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'wiki.tn' doesn't match 'www.wiki.tn'"")))","HTTPSConnectionPool(host='wiki.tn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'wiki.tn' doesn't match 'www.wiki.tn'"")))"
wikicachlam.com,"HTTPSConnectionPool(host='wikicachlam.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='wikicachlam.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
wikiorg.ru,"HTTPSConnectionPool(host='wikiorg.ru', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='wikiorg.ru', port=80): Read timed out. (read timeout=2)"
