detinjarije.com,"HTTPSConnectionPool(host='detinjarije.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='detinjarije.com', port=443): Read timed out. (read timeout=2)"
dnp.go.th,"HTTPSConnectionPool(host='dnp.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc3b716a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='dnp.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc3f95fd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
dnp.gov.co,"HTTPSConnectionPool(host='dnp.gov.co', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc4c98760>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='dnp.gov.co', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc43d96a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
dobrenoviny.sk,"HTTPSConnectionPool(host='www.dobrenoviny.sk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.dobrenoviny.sk', port=443): Read timed out. (read timeout=2)"
docomo.ne.jp,"HTTPSConnectionPool(host='docomo.ne.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc3c36b80>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='docomo.ne.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc3bea520>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
dodomacnosti.sk,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
dogurehberi.com,"HTTPSConnectionPool(host='dogurehberi.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='dogurehberi.com', port=80): Read timed out. (read timeout=2)"
doh.go.th,"HTTPSConnectionPool(host='doh.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc4c1c070>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='doh.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc3f86790>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
dokempu.cz,"HTTPSConnectionPool(host='dokempu.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'dokempu.cz' doesn't match 'www.dokempu.cz'"")))","HTTPSConnectionPool(host='dokempu.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'dokempu.cz' doesn't match 'www.dokempu.cz'"")))"
dokuz8haber.net,"HTTPSConnectionPool(host='dokuz8haber.net', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='dokuz8haber.net', port=443): Read timed out. (read timeout=2)"
dol.go.th,"HTTPSConnectionPool(host='dol.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc3f70d30>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='dol.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc4bbb130>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
domain.com.au,"HTTPSConnectionPool(host='www.domain.com.au', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.domain.com.au', port=443): Read timed out. (read timeout=2)"
