handyman.dk,"HTTPSConnectionPool(host='handyman.dk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='handyman.dk', port=443): Read timed out. (read timeout=2)"
hokudai.ac.jp,"HTTPSConnectionPool(host='hokudai.ac.jp', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f847f3d8a00>, 'Connection to hokudai.ac.jp timed out. (connect timeout=2)'))","HTTPConnectionPool(host='hokudai.ac.jp', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f847bbff4c0>, 'Connection to hokudai.ac.jp timed out. (connect timeout=2)'))"
holon.muni.il,"HTTPSConnectionPool(host='holon.muni.il', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f847eba91c0>, 'Connection to holon.muni.il timed out. (connect timeout=2)'))","HTTPConnectionPool(host='holon.muni.il', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8483f70700>, 'Connection to holon.muni.il timed out. (connect timeout=2)'))"
honda.co.jp,"HTTPSConnectionPool(host='honda.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847c311220>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='honda.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f84822b3a00>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hortes.ee,"HTTPSConnectionPool(host='hortes.ee', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='hortes.ee', port=443): Read timed out. (read timeout=2)"
hosp.go.jp,"HTTPSConnectionPool(host='hosp.go.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8484c41bb0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hosp.go.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847ce2f8b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hot.net.il,Exceeded 30 redirects.,Exceeded 30 redirects.
hotbak.net,"HTTPSConnectionPool(host='hotbak.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8483744700>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hotbak.net', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847d547310>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hottomotto.com,"HTTPSConnectionPool(host='hottomotto.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8481fb8c70>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hottomotto.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847dca0040>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
houseoffraser.co.uk,"HTTPSConnectionPool(host='houseoffraser.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'houseoffraser.co.uk' doesn't match either of '*.mckinseyaccelerate.com', 'mckinseyaccelerate.com'"")))","HTTPConnectionPool(host='houseoffraser.co.uk', port=80): Read timed out. (read timeout=2)"
houzz.com,"HTTPSConnectionPool(host='www.houzz.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.houzz.com', port=443): Read timed out. (read timeout=2)"
houzz.com.au,"HTTPSConnectionPool(host='www.houzz.com.au', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.houzz.com.au', port=443): Read timed out. (read timeout=2)"
houzz.de,"HTTPSConnectionPool(host='www.houzz.de', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.houzz.de', port=443): Read timed out. (read timeout=2)"
houzz.es,"HTTPSConnectionPool(host='www.houzz.es', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.houzz.es', port=443): Read timed out. (read timeout=2)"
houzz.ie,"HTTPSConnectionPool(host='www.houzz.ie', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.houzz.ie', port=443): Read timed out. (read timeout=2)"
houzz.it,"HTTPSConnectionPool(host='www.houzz.it', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.houzz.it', port=443): Read timed out. (read timeout=2)"
houzz.ru,"HTTPSConnectionPool(host='www.houzz.ru', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.houzz.ru', port=443): Read timed out. (read timeout=2)"
houzz.se,"HTTPSConnectionPool(host='www.houzz.se', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.houzz.se', port=443): Read timed out. (read timeout=2)"
hovamenjek.hu,"HTTPSConnectionPool(host='hovamenjek.hu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='hovamenjek.hu', port=443): Read timed out. (read timeout=2)"
hrsume.hr,"HTTPSConnectionPool(host='hrsume.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f84850510a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hrsume.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f84846bfd60>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
