baodanang.vn,"HTTPSConnectionPool(host='baodanang.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='baodanang.vn', port=443): Read timed out. (read timeout=2)"
benyehuda.org,"HTTPSConnectionPool(host='benyehuda.org', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='benyehuda.org', port=443): Read timed out. (read timeout=2)"
beok.co.il,"HTTPSConnectionPool(host='beok.co.il', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.beok.co.il', port=443): Read timed out. (read timeout=2)"
beritajakarta.id,"HTTPSConnectionPool(host='www.beritajakarta.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.beritajakarta.id', port=443): Read timed out. (read timeout=2)"
beritajatim.com,"HTTPSConnectionPool(host='beritajatim.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='beritajatim.com', port=80): Read timed out. (read timeout=2)"
besiktaskultursanat.com,"HTTPSConnectionPool(host='besiktaskultursanat.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb6d37f0>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='besiktaskultursanat.com', port=80): Read timed out. (read timeout=2)"
bestbuy.ca,"HTTPSConnectionPool(host='www.bestbuy.ca', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bestbuy.ca', port=443): Read timed out. (read timeout=2)"
bestjobs.eu,"HTTPSConnectionPool(host='www.bestjobs.eu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bestjobs.eu', port=443): Read timed out. (read timeout=2)"
bestore.co.il,"HTTPSConnectionPool(host='bestore.co.il', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fa3fb56a070>, 'Connection to bestore.co.il timed out. (connect timeout=2)'))","HTTPConnectionPool(host='bestore.co.il', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fa3fb55f6d0>, 'Connection to bestore.co.il timed out. (connect timeout=2)'))"
bestpharmacy.gr,"HTTPSConnectionPool(host='bestpharmacy.gr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='bestpharmacy.gr', port=443): Read timed out. (read timeout=2)"
bestplaces.net,"HTTPSConnectionPool(host='bestplaces.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.bestplaces.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
betermedia.nl,"HTTPSConnectionPool(host='betermedia.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb4c5fd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='betermedia.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fb6ff370>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
beun.edu.tr,"HTTPSConnectionPool(host='w3.beun.edu.tr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='w3.beun.edu.tr', port=443): Read timed out. (read timeout=2)"
bgvesti.net,"HTTPSConnectionPool(host='bgvesti.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.bgvesti.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1124)')))"
bia-bg.com,"HTTPSConnectionPool(host='bia-bg.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bia-bg.com', port=443): Read timed out. (read timeout=2)"
biccamera.com,"HTTPSConnectionPool(host='biccamera.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fa3fb75e640>, 'Connection to biccamera.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='biccamera.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fa3fbcada60>, 'Connection to biccamera.com timed out. (connect timeout=2)'))"
bigdeals.lk,"HTTPSConnectionPool(host='bigdeals.lk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='bigdeals.lk', port=443): Read timed out. (read timeout=2)"
biglots.com,"HTTPSConnectionPool(host='www.biglots.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.biglots.com', port=80): Read timed out. (read timeout=2)"
bigspravka.ru,"HTTPSConnectionPool(host='bigspravka.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='bigspravka.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
bijtantetine.nl,"HTTPSConnectionPool(host='bijtantetine.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fac115e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bijtantetine.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fb7b36d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bikebros.co.jp,"HTTPSConnectionPool(host='bikebros.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb48a310>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bikebros.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fb5d4760>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bilkent.edu.tr,"HTTPSConnectionPool(host='w3.bilkent.edu.tr', port=443): Max retries exceeded with url: /bilkent/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='w3.bilkent.edu.tr', port=443): Max retries exceeded with url: /bilkent/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
