rtvmag.co.rs,"HTTPSConnectionPool(host='rtvmag.co.rs', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fbe131c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='rtvmag.co.rs', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fc8b8250>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
ru.ac.th,"HTTPSConnectionPool(host='ru.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fc9c2fd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='ru.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fcae8820>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
rup.ee,"HTTPSConnectionPool(host='www.rup.ee', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.rup.ee', port=443): Read timed out. (read timeout=2)"
ruten.com.tw,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
rvb.lt,"HTTPSConnectionPool(host='rvb.lt', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fb2a7e80>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='rvb.lt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fc866760>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
rvo.nl,"HTTPSConnectionPool(host='www.rvo.nl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.rvo.nl', port=443): Read timed out. (read timeout=2)"
rvvg.lv,"HTTPSConnectionPool(host='rvvg.lv', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.rvvg.lv', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
rzp.cz,"HTTPSConnectionPool(host='rzp.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1124)')))","HTTPConnectionPool(host='rzp.cz', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f12fb2a71c0>, 'Connection to rzp.cz timed out. (connect timeout=2)'))"
saabturboclub.com,"HTTPSConnectionPool(host='saabturboclub.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fc969970>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='saabturboclub.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fb3dae80>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
saaecearamirim.com.br,"HTTPSConnectionPool(host='saaecearamirim.com.br', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fce7a460>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='saaecearamirim.com.br', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fc995310>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
