skijanje.rs,"HTTPSConnectionPool(host='www.skijanje.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.skijanje.rs', port=443): Read timed out. (read timeout=2)"
spa.gov.sa,"HTTPSConnectionPool(host='spa.gov.sa', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423b4e51f0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='spa.gov.sa', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423c5ec6a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
spdigital.cl,"HTTPSConnectionPool(host='www.spdigital.cl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.spdigital.cl', port=443): Read timed out. (read timeout=2)"
spectrum.com,"HTTPSConnectionPool(host='www.spectrum.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.spectrum.com', port=443): Read timed out. (read timeout=2)"
spodeli.net,"HTTPSConnectionPool(host='spodeli.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1131)')))","HTTPConnectionPool(host='spodeli.net', port=80): Read timed out. (read timeout=2)"
spordiregister.ee,"HTTPSConnectionPool(host='www.spordiregister.ee', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.spordiregister.ee', port=443): Read timed out. (read timeout=2)"
sportsdirect.com,"HTTPSConnectionPool(host='sportsdirect.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1131)')))","HTTPConnectionPool(host='sportsdirect.com', port=80): Read timed out. (read timeout=2)"
sportskacentrala.com,"HTTPSConnectionPool(host='www.sportskacentrala.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.sportskacentrala.com', port=443): Read timed out. (read timeout=2)"
sportytrader.com,"HTTPSConnectionPool(host='www.sportytrader.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.sportytrader.com', port=443): Read timed out. (read timeout=2)"
spotrebitelskytest.sk,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
squaremeal.co.uk,"HTTPSConnectionPool(host='www.squaremeal.co.uk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.squaremeal.co.uk', port=443): Read timed out. (read timeout=2)"
squawka.com,"HTTPSConnectionPool(host='squawka.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='squawka.com', port=80): Read timed out. (read timeout=2)"
