storylog.co,"HTTPSConnectionPool(host='storylog.co', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='storylog.co', port=443): Read timed out. (read timeout=2)"
szu.sk,"HTTPSConnectionPool(host='szu.sk', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c3eec430>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='szu.sk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53c4502b50>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
t24.tn,"HTTPSConnectionPool(host='t24.tn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c3788d60>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='t24.tn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53bfb31340>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
taalwerkplaatsdrenthe.nl,"HTTPSConnectionPool(host='taalwerkplaatsdrenthe.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c2477520>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='taalwerkplaatsdrenthe.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53c44e4280>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
tabirai.net,"HTTPSConnectionPool(host='tabirai.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c41a9070>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='tabirai.net', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53c3c571c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
tablondeanuncios.com,Exceeded 30 redirects.,Exceeded 30 redirects.
tainhac365.org,"HTTPSConnectionPool(host='tainhac365.org', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='tainhac365.org', port=443): Read timed out."
tainhacmienphi.biz,"HTTPSConnectionPool(host='tainhacmienphi.biz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='tainhacmienphi.biz', port=443): Read timed out. (read timeout=2)"
tainhacmoi.biz,"HTTPSConnectionPool(host='tainhacmoi.biz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='tainhacmoi.biz', port=443): Read timed out. (read timeout=2)"
takashimaya.co.jp,"HTTPSConnectionPool(host='www.takashimaya.co.jp', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.takashimaya.co.jp', port=443): Read timed out. (read timeout=2)"
talentoincluir.com.br,"HTTPSConnectionPool(host='talentoincluir.com.br', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='talentoincluir.com.br', port=443): Read timed out. (read timeout=2)"
tallinnlv.ee,"HTTPSConnectionPool(host='tallinnlv.ee', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f53c34b5df0>, 'Connection to tallinnlv.ee timed out. (connect timeout=2)'))","HTTPConnectionPool(host='tallinnlv.ee', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f53bafe59a0>, 'Connection to tallinnlv.ee timed out. (connect timeout=2)'))"
taloustaito.fi,"HTTPSConnectionPool(host='taloustaito.fi', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'taloustaito.fi' doesn't match either of 'www.veronmaksajat.fi', 'veronmaksajat.fi', 'www.taloustaito.fi', 'www.taxfax.fi'"")))","HTTPSConnectionPool(host='www.taloustaito.fi', port=443): Read timed out. (read timeout=2)"
tamano.ma,"HTTPSConnectionPool(host='tamano.ma', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='tamano.ma', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
tamm.abudhabi,"HTTPSConnectionPool(host='www.tamm.abudhabi', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='tamm.abudhabi', port=80): Read timed out. (read timeout=2)"
tapchicongsan.org.vn,"HTTPSConnectionPool(host='tapchicongsan.org.vn', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='tapchicongsan.org.vn', port=80): Read timed out. (read timeout=2)"
tarimorman.gov.tr,"HTTPSConnectionPool(host='www.tarimorman.gov.tr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tarimorman.gov.tr', port=443): Read timed out. (read timeout=2)"
tcd.ie,"HTTPSConnectionPool(host='tcd.ie', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.tcd.ie', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))"
tdgtest.it,"HTTPSConnectionPool(host='tdgtest.it', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='tdgtest.it', port=80): Read timed out. (read timeout=2)"
teachfornigeria.org,"HTTPSConnectionPool(host='teachfornigeria.org', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='teachfornigeria.org', port=80): Read timed out. (read timeout=2)"
techcare.vn,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
